ZIP_NEW,BEDS,BATHS,SQUARE_FEET,LOT SIZE,YEAR_BUILT,PRICE
93301,4,2.5,1609,2178,2006,195000
92308,3,2,1560,28000,1980,229999
92307,4,3,2418,45302,1984,350000
92692,3,3.5,2305,4297,1996,788000
92870,3,2.5,1747,2933,1986,599000
92078,5,3.5,3359,3500,2017,869000
92021,3,2,1685,8735,2004,540000
93906,3,2.5,1587,5771,1995,589000
92225,3,2,1662,9583,1999,234000
92211,3,3.5,2430,3049,2001,689990
93215,4,2,2800,1400,1992,229000
92692,3,2.5,1877,4500,1987,749900
95131,3,2.5,1285,3265,1988,998000
91945,3,2.5,1507,3795,1991,475000
92028,4,2.5,2197,12632,1999,620000
91901,4,3.5,3581,87120,1997,860000
93505,3,3,2446,12884,2008,275000
92308,4,3,2136,19500,1979,280000
93505,3,2,1622,7405,2007,164900
92308,5,3,2434,20031,2006,349900
94025,4,3,2624,6000,2018,3598000
92308,4,2,1918,18351,2006,289990
92308,4,3,2434,18800,2004,345000
92308,3,2,1342,22575,1985,229900
92314,3,2,1296,4160,2006,238000
93505,3,2.5,2178,11272,2008,219990
93505,3,2.5,2178,11272,2008,219990
92679,4,2.5,2479,6090,1991,875000
91709,5,3,3302,21945,1989,1189900
93505,3,2,1422,5996,1989,142900
93561,3,2,1812,5663,2005,279000
92661,4,4.5,3000,2614,2005,3795000
92308,4,3,2260,19200,2018,369000
92308,5,2,2179,24211,2006,319900
91901,4,2.5,2577,50965,1990,718000
93108,2,2.5,3266,57499,2007,3595000
92692,3,2.5,2461,4770,1997,819000
93434,4,2,1600,7405,1992,369900
93420,3,2,2382,10682,2001,949000
92879,4,2.5,2062,5227,1993,470000
94550,4,3.5,2816,12515,1998,1375000
94550,4,3.5,2816,12515,1998,1375000
92833,4,3,2073,4950,1981,779900
92324,4,3,2108,9636,1993,475000
92307,4,2,1884,43415,1987,282000
92029,3,3,2902,2100,1981,799000
91784,4,2,1916,10087,1973,595800
95121,4,2,1594,9153,1980,949000
93505,3,3,1767,9600,2007,249999
92679,3,2.5,1678,4250,1985,714900
92692,2,2.5,2195,5500,1992,819000
93560,4,2,1875,6969,2001,269000
92008,5,4.5,3535,7676,2004,990000
95033,4,3.5,2812,13040,1993,1299000
92679,3,2.5,1350,3870,1985,659900
91901,4,3,1914,2100,1999,610000
92307,3,2,1622,51401,1978,239900
92679,4,2,2032,9800,1995,844900
92662,3,4,2350,2614,2018,3875000
94110,3,4,1953,1750,1996,1399000
92021,2,1.5,1303,1050,2004,485000
92630,4,3.5,2855,4600,2010,998000
92595,3,2,1500,16117,1980,415000
92557,5,3,2708,9583,2005,409900
92308,4,2,2233,18040,1986,288900
92262,3,2.5,2339,11761,2002,639700
92028,4,2,2342,61855,1996,669900
92661,3,3.5,3702,3280,2001,9580000
92084,3,2,1200,1400,1990,469999
92007,4,3.5,3173,8667,1982,1998000
92630,4,2.5,2644,5000,1985,798000
92029,3,3,2278,3703,2018,669000
92029,3,3,2278,3703,2018,656900
91762,4,2,1621,10395,1976,530000
92021,3,2,1344,1400,2004,489000
93307,3,2,1325,6534,1998,195000
92078,4,4.5,3571,8767,2001,949999
92019,4,2.5,2755,22215,1989,719000
92692,3,2,1900,4500,1995,718500
92029,4,3.5,3112,4704,2016,867900
92029,4,3.5,2519,4704,2016,759900
95051,3,2,1008,6298,1959,1045000
91709,4,2.5,1996,5459,1989,699000
92029,4,3.5,2626,4704,2016,788900
93505,3,2,1887,11610,1991,199000
91914,4,3,2486,2100,2005,689000
92078,5,4.5,3571,11145,2001,889000
92324,3,2.5,1932,2376,2018,401140
92307,5,3,2578,54014,1993,334900
95051,3,3,1730,5154,1955,1450000
92630,3,2.5,2299,10400,1985,999800
92881,4,3,2129,6534,1988,499900
95121,5,3,2363,6224,1997,1250000
92583,3,2,1599,10890,1988,285000
92679,4,3,2927,5985,1994,975000
94070,4,2.5,2620,9200,1985,2795000
93268,3,2,960,6534,2005,95000
92019,4,3,3172,30492,1985,979000
93505,4,2.5,1658,9678,2005,181900
92887,5,3.5,3759,17600,1989,1299000
93561,3,2,1647,15245,1984,269000
92630,5,3,3004,11550,1985,1126888
92004,3,2,2986,95832,1996,549000
92627,2,3,1715,2083,2014,765000
92630,3,2.5,1609,3850,1985,625000
92029,4,3,2018,2575,2015,629000
92029,4,2.5,2715,50965,2003,799000
92029,3,2.5,1873,3218,2015,595000
91784,5,2.5,2949,10074,1978,728800
92879,5,3.5,3276,6534,1990,599900
93561,3,2,1187,11659,1986,230000
92029,3,2.5,1875,2626,2017,629000
92009,5,3,2326,6289,1999,1069990
94551,4,3,1888,5002,2018,979000
92679,5,3.5,3414,10925,1994,1095000
92307,3,2,1450,40250,1980,239900
94025,4,4.5,2606,5982,2018,3950000
92029,4,3,2018,2971,2016,649999
92314,3,2,2692,27983,2000,550000
92220,2,1,820,4792,1980,159000
93560,3,2.5,1614,6824,1990,239800
92065,4,3,2327,2100,2018,739000
92007,4,4.5,3136,4842,1989,2595000
92595,3,2,1856,19166,1987,429000
94534,4,2.5,1512,3485,1980,427500
93505,3,2,1731,11761,1990,160000
93505,3,4,2040,10018,1989,262000
92610,5,5.5,3324,3990,2018,1199680
93505,3,2,1945,12282,1990,235000
93505,4,2,2000,10534,2005,235000
92630,4,3,2234,6650,1985,864900
91914,5,4,3173,7509,2005,750000
92308,4,2,2385,19200,2006,309960
92029,4,2.5,1669,1750,1989,534900
92595,3,2,2300,21344,1985,449900
92308,6,3.75,3940,95832,2007,560000
91784,4,4.5,3868,20800,1989,1498000
92881,4,3,2129,6098,1987,490000
95070,4,3.5,3294,57151,1986,2798000
92557,2,1,916,9148,1984,250000
92014,3,3,1950,5529,1989,2875000
94062,4,3.5,2950,6844,2004,1995000
92662,3,4,2300,2550,2018,3895000
95687,4,3,2148,5994,1985,489950
93444,4,3,2932,45738,1991,799900
92630,4,2.5,2605,10200,1983,1149900
